1,"ML  1","vl1","ML",1,167690,209970,""
2,"ML  2","vl1","ML",2,167120,209440,""
3,"ML  3","vl1","ML",3,167780,209150,""
4,"ML  4","vl1","ML",4,167970,208700,""
5,"ML  5","vl1","ML",5,167900,208180,""
6,"ML  6","vl1","ML",6,168040,207850,""
7,"ML  7","vl1","ML",7,168250,207490,""
8,"ML  8","vl1","ML",8,168020,207030,""
9,"ML  9","vl1","ML",9,167580,206580,""
10,"ML 10","vl1","ML",10,167190,206130,""
11,"ML 11","vl1","ML",11,166880,205770,""
12,"ML 12","vl1","ML",12,166420,205420,""
13,"ML 13","vl1","ML",13,165980,205600,""
14,"ML 14","vl1","ML",14,165500,205140,""
15,"ML 15","vl1","ML",15,164770,204380,""
16,"ML 16","vl1","ML",16,164620,203850,""
17,"ML 17","vl1","ML",17,164480,203370,""
18,"ML 18","vl1","ML",18,164580,202740,""
19,"L  1","vl1","L",1,,,""
20,"L  2","vl1","L",2,165080,201490,""
21,"L  3","vl1","L",3,165240,200810,""
22,"L  4","vl1","L",4,165220,200460,""
23,"L  5","vl1","L",5,165050,199490,""
24,"L  6","vl1","L",6,165080,199050,""
25,"L  7","vl1","L",7,164660,198380,""
26,"L  8","vl1","L",8,164640,198170,""
27,"L  9","vl1","L",9,164570,197700,""
28,"L 10","vl1","L",10,164130,196220,""
29,"L 11","vl1","L",11,164280,195850,""
30,"L 12","vl1","L",12,164480,195750,""
31,"L 13","vl1","L",13,164520,195590,""
32,"L 14","vl1","L",14,164610,195430,""
33,"L 15","vl1","L",15,164900,194990,""
34,"L 16","vl1","L",16,165070,194510,""
35,"L 17","vl1","L",17,165100,194050,""
36,"L 18","vl1","L",18,165210,193700,""
37,"L 19","vl1","L",19,165180,193420,""
38,"L 20","vl1","L",20,165040,192860,""
39,"L 21","vl1","L",21,165090,192510,""
40,"L 22","vl1","L",22,165280,192360,""
41,"L 23","vl1","L",23,165640,191650,""
42,"L 24","vl1","L",24,165910,191230,""
43,"L 25","vl1","L",25,166460,190550,""
44,"L 26","vl1","L",26,166780,190390,""
45,"L 27","vl1","L",27,166900,189630,""
46,"L 28","vl1","L",28,167060,189170,""
47,"L 29","vl1","L",29,167560,188750,""
48,"L 30","vl1","L",30,167600,188620,""
49,"L 31","vl1","L",31,167610,188370,""
50,"L 32","vl1","L",32,167560,187960,""
51,"L 33","vl1","L",33,167580,187520,""
52,"L 34","vl1","L",34,167710,187250,""
53,"H  1","vl1","H",1,167760,186680,""
54,"H  1bis","vl1","H","1bis",168120,186650,""
55,"H  2","vl1","H",2,168580,186570,""
56,"H  3","vl1","H",3,169030,186380,""
57,"H  3bis","vl1","H","3bis",169220,186270,""
58,"H  4","vl1","H",4,169350,186110,""
59,"H  5","vl1","H",5,169700,185600,""
60,"H  6","vl1","H",6,169940,185280,""
61,"H  7","vl1","H",7,170300,184770,""
62,"H  8","vl1","H",8,170140,184730,""
63,"H  9","vl1","H",9,170370,184180,""
64,"H 10","vl1","H",10,170380,183580,""
65,"H 11","vl1","H",11,170640,183070,""
66,"H 12","vl1","H",12,170720,182830,""
67,"H 13","vl1","H",13,170720,182300,""
68,"H 14","vl1","H",14,170750,181630,""
69,"A  1","vl1","A",1,170880,181030,""
70,"A  2","vl1","A",2,171010,180880,""
71,"A  3","vl1","A",3,171250,180630,""
72,"A  4","vl1","A",4,171400,180480,""
73,"A  5","vl1","A",5,171560,180300,""
74,"A  6","vl1","A",6,171800,180060,""
75,"A  7","vl1","A",7,171940,179930,""
76,"A  8","vl1","A",8,172220,179640,""
77,"A  9","vl1","A",9,172260,179590,""
78,"A 10","vl1","A",10,172590,179390,""
79,"A 11","vl1","A",11,172830,179270,""
80,"A 12","vl1","A",12,172970,179180,""
81,"A 13","vl1","A",13,173040,179150,""
82,"A 14","vl1","A",14,173280,179020,""
83,"A 15","vl1","A",15,173730,178610,""
84,"A 16","vl1","A",16,173770,178530,""
85,"A 17","vl1","A",17,173850,178010,""
86,"A 18","vl1","A",18,,,""
87,"A 19","vl1","A",19,173820,177630,""
88,"A 20","vl1","A",20,173870,177380,""
89,"A 21","vl1","A",21,173940,177030,""
90,"A 22","vl1","A",22,174080,176670,""
91,"F  1","vl1","F",1,174080,176670,""
92,"F  2","vl1","F",2,174180,176200,""
93,"F  3","vl1","F",3,174300,176030,""
94,"F  4","vl1","F",4,174380,174880,""
95,"F  5","vl1","F",5,174420,174420,""
96,"F  6","vl1","F",6,174620,173380,""
97,"F  7","vl1","F",7,174260,172840,""
98,"F  8","vl1","F",8,172780,172500,""
99,"F  9","vl1","F",9,172500,172420,""
100,"LW  1","vl1","LW",1,171240,171900,""
101,"LW  2","vl1","LW",2,170120,170750,""
102,"LW  3","vl1","LW",3,169840,170250,""
103,"LW  4","vl1","LW",4,169300,169760,""
104,"LW  5","vl1","LW",5,169100,169100,""
105,"LW  6","vl1","LW",6,168470,166500,""
106,"LW  7","vl1","LW",7,169360,165890,""
107,"LW  8","vl1","LW",8,169330,165800,""
108,"LW  9","vl1","LW",9,168900,164070,""
109,"LW 10","vl1","LW",10,168890,162870,""
110,"LW 11","vl1","LW",11,169060,161620,""
111,"LW 12","vl1","LW",12,169540,160840,""
112,"LW 13","vl1","LW",13,169670,160580,""
113,"LW 14","vl1","LW",14,170250,160100,""
114,"LW 15","vl1","LW",15,169700,159480,""
115,"LW 16","vl1","LW",16,169650,158480,""
116,"LW 17","vl1","LW",17,169250,157950,""
117,"LW 18","vl1","LW",18,168340,157380,""
118,"LW 19","vl1","LW",19,167570,156850,""
119,"LW 20","vl1","LW",20,167600,156550,""
120,"LW 21","vl1","LW",21,166580,155590,""
121,"LW 22","vl1","LW",22,166030,155300,""
122,"BL  1","vl1","BL",1,164700,155630,""
123,"BL  2","vl1","BL",2,164200,155930,""
124,"BL  3","vl1","BL",3,163810,155840,""
125,"BL  4","vl1","BL",4,163580,156000,""
